,feat,p,stat
257,wavelet-HLL_glcm_Autocorrelation,8.611427342483531e-05,1.679960253880732
261,wavelet-HLL_gldm_HighGrayLevelEmphasis,8.996647987870468e-05,1.671695797103905
319,wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,9.101371878191004e-05,1.6615594712014299
453,wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.00011048497696084878,1.7215123311852731
148,wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.00011299418541203927,1.687129941942231
333,wavelet-HLL_glcm_SumAverage,0.00014872496416226056,1.6267963509054442
184,wavelet-HLL_glcm_JointAverage,0.00014872496416226197,1.6267963509054446
205,wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.00016912841322592917,1.6035703357477762
243,wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.0002567731563238832,1.6835589611747503
514,wavelet-HLL_glcm_Idn,0.0013180657394230156,1.3748840325298848
418,wavelet-HLL_glcm_Idmn,0.0014827392473175307,1.3290950174077503
554,wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,0.0015608668169812565,1.1997632785892691
89,wavelet-HLL_ngtdm_Complexity,0.0031008367582415776,1.1535188126191775
82,wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.004210683901491644,-2.039724711044806
373,wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.004232501091024793,1.1845620943545683
75,wavelet-HLL_ngtdm_Contrast,0.006166151071558743,-1.2716018610536484
196,wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.011061710780348477,-1.6370744481661041
529,wavelet-HLL_gldm_LowGrayLevelEmphasis,0.012485583783689493,-1.6857231064283626
402,wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.015601498478643158,-1.8262278320031538
364,wavelet-HHH_glszm_GrayLevelNonUniformity,0.020387278152882746,1.086720405269174
144,wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.02264329705931786,-1.6072667346160752
532,wavelet-HLH_glszm_ZoneEntropy,0.030829015099241897,1.2115425469118197
377,wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.03665947738553747,-1.2643031461557086
278,wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.03914400078839367,-0.5891409821250855
183,wavelet-HHH_glszm_ZoneEntropy,0.039210481604130654,0.6540054886919742
549,wavelet-HHH_glcm_Imc2,0.03921331138874179,-1.0465991684536655
