,feat,p,stat
255,wavelet-LHH_glcm_Contrast,0.0026652015258460788,-1.875620268229571
421,wavelet-LHH_glcm_DifferenceAverage,0.0030818337143779817,-1.4258019285682562
237,wavelet-LHH_glcm_Idm,0.0032105179142615297,1.3347241933515044
492,wavelet-HHH_glcm_ClusterProminence,0.0032900983154925474,2.0647384241525413
329,wavelet-LHH_glcm_Id,0.0033098335959587523,1.279840451971861
452,wavelet-HHH_glcm_Correlation,0.004023225350663954,1.9653910978172004
347,wavelet-HHH_glcm_InverseVariance,0.004025746669850315,-1.9234597442737378
73,wavelet-LHH_glcm_InverseVariance,0.004030455287134112,-1.2609135224743981
484,wavelet-HHH_glcm_Id,0.004041055420224031,1.922304652358686
481,wavelet-HHH_glcm_Idm,0.0040439092661012305,1.9220696612002899
489,wavelet-HHH_glcm_DifferenceAverage,0.004056039767915748,-1.9212828711136787
46,wavelet-HHH_glcm_Contrast,0.004123283506620686,-1.91697333868096
314,wavelet-LHH_glcm_Correlation,0.004479808485806969,1.2443524843091565
520,wavelet-HHH_ngtdm_Contrast,0.004892362794444754,-1.9161603941471208
239,wavelet-HHH_glcm_ClusterTendency,0.005846090735390545,1.9048760298730967
348,wavelet-LHL_glcm_Correlation,0.006090575927580667,1.1864581362733195
513,wavelet-LHL_glszm_HighGrayLevelZoneEmphasis,0.007021967985985958,-1.3317672623501988
587,wavelet-LHH_glcm_ClusterTendency,0.007293121088854982,1.1813443683473002
397,wavelet-LHL_glrlm_ShortRunHighGrayLevelEmphasis,0.007369462172604554,-1.381418045861706
110,wavelet-LHL_glrlm_HighGrayLevelRunEmphasis,0.008371093924012371,-1.289291205278042
83,wavelet-LHL_gldm_HighGrayLevelEmphasis,0.008466436733645812,-1.2878833427238734
266,wavelet-LHL_glcm_Autocorrelation,0.00883894145236529,-1.2820332882846326
21,wavelet-LHL_glcm_SumAverage,0.0094340847987104,-1.1262021953810613
68,wavelet-LHL_glcm_JointAverage,0.00943408479871046,-1.12620219538106
404,wavelet-LHL_glcm_DifferenceVariance,0.012326889222385739,-1.2688203391553996
170,wavelet-HHL_glcm_Correlation,0.013240647633991144,1.3966689366252534
250,wavelet-LHL_glrlm_GrayLevelVariance,0.017251345212266702,-1.2002385966830014
356,wavelet-LHL_glcm_Contrast,0.018331463438523418,-1.1640034588803276
449,wavelet-LHL_glcm_MCC,0.020289950596893404,-0.9284001654856354
396,wavelet-LHL_glcm_SumSquares,0.02455198244503022,-1.1451673876960187
23,wavelet-LHL_gldm_DependenceNonUniformityNormalized,0.025002430991908558,-1.2328200880312563
206,wavelet-LHL_glcm_Imc2,0.026423520052279093,-0.8576489782928238
569,wavelet-LHL_gldm_GrayLevelVariance,0.027506471496396342,-1.080615417146404
475,wavelet-LHH_glcm_SumEntropy,0.030260191658793935,1.168119992772541
450,wavelet-LHL_gldm_DependenceVariance,0.030978498911086116,1.211519935075569
59,wavelet-LHL_glcm_Idm,0.03194954733238108,0.8853200168936822
86,wavelet-LHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.03203788985586706,-1.3130159582565126
85,wavelet-LHL_glszm_SmallAreaHighGrayLevelEmphasis,0.032945564994619515,-1.4042626228715431
317,wavelet-LHL_glcm_Id,0.033085639859413075,0.9014351782868342
594,wavelet-LHL_glcm_InverseVariance,0.03315917109432549,1.1745905572379496
451,wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.03411380833546596,0.842691067712791
136,wavelet-LHL_glszm_GrayLevelVariance,0.034178713507334035,-1.1297927637278715
487,wavelet-LHH_glcm_MaximumProbability,0.03430317048001788,-1.2589674908519466
171,wavelet-LHL_glcm_DifferenceEntropy,0.034749345783320146,-0.9387820845955256
184,wavelet-LHL_glcm_DifferenceAverage,0.03510788268090457,-1.0753441572524047
395,wavelet-LHL_glcm_ClusterTendency,0.036007372778278736,-1.095394573969583
177,wavelet-LHH_glszm_GrayLevelNonUniformity,0.0401317309037728,-2.4002793588222437
228,wavelet-LHH_gldm_LargeDependenceEmphasis,0.04059399338313597,0.8691876276764177
207,wavelet-LHL_glcm_MaximumProbability,0.04378457669843992,0.758142599010405
214,wavelet-LHH_glszm_SizeZoneNonUniformity,0.046287392207169396,-2.332466973164468
427,wavelet-LHH_glcm_Imc2,0.048468374612547487,-0.7285675794886913
225,wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.04859993677014418,-0.7837047765869428
26,wavelet-LHL_gldm_LargeDependenceEmphasis,0.0502654338039801,0.8528525950728347
461,wavelet-LHL_glcm_JointEntropy,0.05223468813959541,-0.8528571479584128
9,wavelet-LHL_gldm_SmallDependenceEmphasis,0.05322017445728077,-1.0515085666885937
15,wavelet-LHH_glcm_MCC,0.056746329593723964,-0.7201645414408269
538,wavelet-LHL_glrlm_RunPercentage,0.05694733949264951,-0.7580733206978018
416,wavelet-LHL_ngtdm_Complexity,0.0586105695855735,-1.0810522581376345
253,wavelet-HHL_glszm_ZoneEntropy,0.0594155138131445,-0.8758037834994965
167,wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.06113286435510097,-0.7150987502467747
444,wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,0.06135049991849614,-0.9084125067373128
117,wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,0.06191871612061664,0.8315392213688751
260,wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,0.06275327593794526,0.864985110227087
509,wavelet-HHH_glcm_Idn,0.06275677504223315,1.3515532434113844
79,wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,0.06464911256506618,0.6042433788779181
595,wavelet-LHL_glrlm_ShortRunEmphasis,0.06838140099036334,-0.7319793279807318
69,wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,0.06857645786388293,0.7532148272695528
588,wavelet-HLH_glcm_Imc1,0.07037924041666649,-0.9409206509923268
566,wavelet-HLH_glcm_DifferenceEntropy,0.07393089845570398,-1.4961668944519644
562,wavelet-HLH_glcm_JointEntropy,0.07797369713179342,-2.136870662504938
37,wavelet-HHL_gldm_DependenceVariance,0.07857592703855436,-0.9392094089255162
432,wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.07877598483596922,0.6413698140996772
412,wavelet-LHL_glcm_JointEnergy,0.08099086964547374,0.652671315650238
281,wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,0.0837867270200237,-0.8957747245103458
376,wavelet-HLH_glcm_JointEnergy,0.08526664711614919,1.067250402262665
319,wavelet-HLH_glcm_DifferenceVariance,0.08698379495993579,-1.2508779662077791
424,wavelet-HLH_glszm_LowGrayLevelZoneEmphasis,0.08773826605124942,-0.8193395584035044
326,wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized,0.08819307469059956,0.5739040151159137
166,wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.09195492171019573,0.7654228239788223
257,wavelet-LHL_glcm_SumEntropy,0.09224511311234908,-0.7510612023408733
373,wavelet-HHH_glcm_Idmn,0.09271004736700471,1.4597874053992055
268,wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.09667755235444167,0.6227553371632355
252,wavelet-LLH_glszm_SmallAreaEmphasis,0.099602961368488,-0.8162565427978637
402,wavelet-HHL_gldm_SmallDependenceEmphasis,0.10113489768718639,-0.814230594304213
406,wavelet-HHL_glcm_JointEnergy,0.1024292421686271,0.5840206404909883
56,wavelet-HHL_glszm_ZonePercentage,0.10416020583469918,-0.783057950248027
