,feat,p,stat
6,Tumor_Other_mean_nuclear_area,0.005260077324530759,1.457583299280166
184,Tumor_Other_quantile0.6_nuclear_area,0.005759904860092708,1.5196029231909802
216,Tumor_Other_quantile0.7_nuclear_area,0.006081283366961459,1.4099859314368952
139,Tumor_Other_quantile0.5_nuclear_area,0.006307067823372882,1.5835870231979574
155,Tumor_Other_quantile0.8_nuclear_area,0.006733544064754038,1.3700462197247127
5,Tumor_Other_quantile0.4_nuclear_area,0.007426526810890027,1.6025189691532236
196,Tumor_Other_quantile0.9_nuclear_area,0.008319846557400219,1.4078998054477856
201,Tumor_Other_quantile0.3_nuclear_area,0.008500107505424417,1.2985875017146542
34,Tumor_Other_quantile0.4_nuclear_max_diameter,0.009745116606000746,1.3951336290663692
166,Tumor_Other_quantile0.3_nuclear_max_diameter,0.009761276753799859,1.398263810942646
9,Tumor_Other_mean_nuclear_max_diameter,0.010186867968827324,1.2852608756282131
215,Tumor_Other_quantile0.5_nuclear_max_diameter,0.011291721771107842,1.316644802813141
36,Tumor_Other_quantile0.2_nuclear_max_diameter,0.011612048449137366,1.3579792102398287
261,Tumor_Other_quantile0.2_nuclear_area,0.012095302123182843,1.1678458282288924
273,Tumor_Other_skew_nuclear_hematoxylin_min,0.013611296963500094,1.1443904540238419
107,Tumor_Other_quantile0.6_nuclear_max_diameter,0.013643271663381114,1.265098150455974
87,Tumor_Other_quantile0.8_nuclear_max_diameter,0.016326199027866913,1.1872737540431855
264,Tumor_Other_quantile0.7_nuclear_max_diameter,0.016328576524069556,1.2012886269501848
59,Tumor_Other_quantile0.1_nuclear_area,0.016930780826753627,1.119250792781321
250,Tumor_Other_quantile0.1_nuclear_max_diameter,0.01784542827529003,1.359458879390417
83,Tumor_Other_quantile0.9_nuclear_max_diameter,0.018259621327558352,1.2746226003291212
271,Necrosis_perimeter,0.018867416967212374,0.9848351417772357
67,Stroma_major_axis_length,0.027135644657249408,-0.7766073329721841
148,Fat_major_axis_length,0.030019532884178163,-0.9998331637765843
188,Tumor_Other_quantile0.1_nuclear_hematoxylin_stdDev,0.03744321723961644,0.8884107716365254
167,Tumor_Other_skew_nuclear_max_diameter,0.042338545266603106,-1.3233004061408882
48,Necrosis_eccentricity,0.05055642935615556,-0.7942545979281751
255,Tumor_Other_var_nuclear_hematoxylin_median,0.053052514645606265,0.9666156842070938
137,Tumor_Other_quantile0.2_nuclear_hematoxylin_stdDev,0.057616112554331717,0.8088335309379652
251,Tumor_Other_var_nuclear_eosin_max,0.05904190381312138,-0.9841877248714447
209,Necrosis_major_axis_length,0.06058114147292715,-0.8546665560349032
181,Stroma_convex_area,0.0626696899712966,-1.2724257204890335
120,Tumor_Other_quantile0.3_nuclear_hematoxylin_stdDev,0.06751520925258353,0.7736978761727477
95,Fat_convex_area,0.06961186229326616,-1.2390971953995322
138,Necrosis_solidity,0.07078569304683405,0.7307034690125079
47,Necrosis_convex_area,0.0725135422188877,-1.3241243519476227
8,Necrosis_extent,0.07345014069472015,0.7701771974433071
10,Tumor_major_axis_length,0.07723151688184739,-0.712444499227959
51,Necrosis_Other_density,0.09198204459098726,0.6733457024617991
248,Necrosis_equivalent_diameter,0.09212216364651012,0.8287059788084455
226,Tumor_Other_quantile0.4_nuclear_hematoxylin_stdDev,0.09817442853254074,0.6944305072622311
275,Tumor_Other_var_nuclear_hematoxylin_mean,0.09861234757022476,0.8182424728988575
98,Fat_minor_axis_length,0.10653238922520576,-0.9950978849179408
262,Tumor_Other_kurtosis_nuclear_hematoxylin_min,0.11164406876738964,0.7536566585181631
221,Tumor_Other_var_nuclear_area,0.11534043958411111,-2.08545427672954
13,Tumor_Other_quantile0.2_nuclear_hematoxylin_min,0.12574256018220173,-0.9187265977958907
247,Tumor_Other_quantile0.3_nuclear_hematoxylin_min,0.12639448954851493,-0.8754654881686936
191,Tumor_Other_quantile0.3_nuclear_eosin_min,0.1273773435029088,-0.6826662207406002
105,Tumor_Stroma_shannon_entropy,0.12846170482006766,0.5431576699712384
186,Tumor_Other_quantile0.2_nuclear_eosin_min,0.12985470703374824,-0.6895762977138546
217,Tumor_Other_quantile0.5_nuclear_hematoxylin_stdDev,0.13166413416390213,0.6268734057152082
257,Tumor_Other_quantile0.1_nuclear_hematoxylin_min,0.1329897201576804,-1.025681769182342
60,Tumor_Other_quantile0.4_nuclear_hematoxylin_min,0.141071738863869,-0.8224478090814137
210,shannon_entropy,0.14833102060175818,0.6715484044739335
256,Tumor_Other_kurtosis_nuclear_max_diameter,0.1486881611938345,-1.1169480759053005
72,Tumor_convex_area,0.15477334186479932,-0.9101354063207091
