Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Nucleus: Area µm^2	Nucleus: Length µm	Nucleus: Circularity	Nucleus: Solidity	Nucleus: Max diameter µm	Nucleus: Min diameter µm	Cell: Area µm^2	Cell: Length µm	Cell: Circularity	Cell: Solidity	Cell: Max diameter µm	Cell: Min diameter µm	Nucleus/Cell area ratio	Hematoxylin: Nucleus: Mean	Hematoxylin: Nucleus: Median	Hematoxylin: Nucleus: Min	Hematoxylin: Nucleus: Max	Hematoxylin: Nucleus: Std.Dev.	Hematoxylin: Cytoplasm: Mean	Hematoxylin: Cytoplasm: Median	Hematoxylin: Cytoplasm: Min	Hematoxylin: Cytoplasm: Max	Hematoxylin: Cytoplasm: Std.Dev.	Hematoxylin: Membrane: Mean	Hematoxylin: Membrane: Median	Hematoxylin: Membrane: Min	Hematoxylin: Membrane: Max	Hematoxylin: Membrane: Std.Dev.	Hematoxylin: Cell: Mean	Hematoxylin: Cell: Median	Hematoxylin: Cell: Min	Hematoxylin: Cell: Max	Hematoxylin: Cell: Std.Dev.	Eosin: Nucleus: Mean	Eosin: Nucleus: Median	Eosin: Nucleus: Min	Eosin: Nucleus: Max	Eosin: Nucleus: Std.Dev.	Eosin: Cytoplasm: Mean	Eosin: Cytoplasm: Median	Eosin: Cytoplasm: Min	Eosin: Cytoplasm: Max	Eosin: Cytoplasm: Std.Dev.	Eosin: Membrane: Mean	Eosin: Membrane: Median	Eosin: Membrane: Min	Eosin: Membrane: Max	Eosin: Membrane: Std.Dev.	Eosin: Cell: Mean	Eosin: Cell: Median	Eosin: Cell: Min	Eosin: Cell: Max	Eosin: Cell: Std.Dev.
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	16.88	35.22	0.7567	41.3351	26.1686	0.7585	1	11.0072	4.9391	93.0233	39.2551	0.7586	1	16.5108	7.4115	0.4444	0.9681	0.8497	-0.0068	4.8476	0.8104	0.1381	0.0434	-0.0912	1.9199	0.2535	0.0925	0.0108	-0.0297	1.4897	0.2264	0.5103	0.2326	-0.0912	4.8476	0.7069	-0.3176	-0.2049	-3.0721	0.4412	0.5415	0.0194	0	-0.8642	0.8976	0.191	0.0229	0	-0.7707	0.6364	0.1744	-0.1317	-0.011	-3.0721	0.8976	0.4234
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	9.223	42.87	0.6884	74.8185	31.8818	0.925	1	11.7065	8.4937	138.5041	45.0444	0.8578	0.9694	15.828	12.6946	0.5401	1.4843	1.3396	0	4.9789	0.9663	0.4139	0.2318	-0.4131	3.0342	0.535	0.5428	0.1906	-0.243	4.7638	0.813	0.9934	0.7678	-0.4131	4.9789	0.9595	-0.515	-0.4124	-3.5074	1.4361	0.6417	-0.0315	0	-1.9017	1.9618	0.4426	-0.0471	0.0188	-3.0394	1.4127	0.6072	-0.2932	-0.2238	-3.5074	1.9618	0.6086
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	9.034	51.09	0.6136	23.5501	22.0882	0.6066	0.7974	8.0859	4.6428	51.2262	31.1989	0.6613	0.8902	11.7354	6.0626	0.4597	1.4393	1.0921	0.0186	4.9075	1.1762	0.5626	0.3763	-0.0694	4.7115	0.7513	0.7705	0.4144	-0.0379	4.4125	0.9704	0.9795	0.5749	-0.0694	4.9075	1.0685	-0.4578	-0.2909	-3.3869	1.0236	0.881	0.1649	0.1931	-2.3982	1.0228	0.4892	-0.0518	0.0555	-2.2122	0.892	0.6398	-0.1312	0.061	-3.3869	1.0236	0.7676
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	502.98	82.16	0.6633	41.602	29.4308	0.6036	0.788	9.5325	7.8731	92.842	41.6848	0.6714	0.8525	13.7936	10.8611	0.4481	0.9631	0.6067	-0.0975	4.3355	0.9368	0.2296	0.139	-0.2655	1.8527	0.2869	0.3043	0.1308	-0.2655	2.8031	0.4886	0.5545	0.2933	-0.2655	4.3355	0.7525	0.4516	0.4728	-1.5167	1.989	0.4798	0.2996	0.2885	-0.0907	1.0293	0.2214	0.3659	0.3362	-0.5844	1.989	0.3415	0.3669	0.383	-1.5167	1.989	0.3668
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	412.4	84.42	0.7938	55.7572	29.273	0.8177	0.9756	11.4692	6.605	97.8183	38.5881	0.8255	0.9741	14.5073	9.8068	0.5701	0.7299	0.5493	-0.0919	3.1298	0.6101	0.036	0.0042	-0.0723	0.4058	0.0743	0.1473	0.0487	-0.0723	0.9127	0.2163	0.434	0.2173	-0.0919	3.1298	0.5775	0.2859	0.3339	-1.6349	1.8772	0.5061	0.0725	0.0121	-0.1058	0.9026	0.1469	0.1784	0.0402	-0.1058	0.9026	0.2607	0.1949	0.1225	-1.6349	1.8772	0.4086
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	420.87	85.74	0.7058	32.7188	21.9208	0.8557	0.9761	8.1183	5.6429	48.2911	26.6936	0.8517	0.9807	9.5572	7.5725	0.6775	0.4102	0.2876	-0.0854	2.7662	0.4678	0.027	0	-0.0804	0.4606	0.0929	0.1588	0.0266	-0.0743	1.4226	0.266	0.2845	0.182	-0.0854	2.7662	0.4266	0.4506	0.5706	-1.3262	1.0761	0.4407	0.0644	0	-0.182	0.8204	0.1833	0.1963	0.0072	-0.7382	0.9702	0.3502	0.3239	0.2802	-1.3262	1.0761	0.4173
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	496.54	88.26	0.6739	55.2412	28.246	0.8701	1	11.123	6.4667	98.606	38.1028	0.8535	0.9762	13.9959	9.3758	0.5602	0.7533	0.5897	-0.139	3.7467	0.5732	0.1773	0.0855	-0.0707	2.5409	0.305	0.2686	0.0354	-0.139	2.5409	0.5577	0.4994	0.3671	-0.139	3.7467	0.5534	0.3724	0.3273	-0.7464	2.4752	0.3731	0.1961	0.185	-1.1223	2.0245	0.2422	0.217	0.1332	-1.1223	2.0245	0.3944	0.2947	0.2619	-1.1223	2.4752	0.3334
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	484.51	89.67	0.6183	24.7266	20.6952	0.7255	1	8.8002	3.7855	55.6594	31.0495	0.7255	1	13.2028	5.6788	0.4442	1.0509	0.9397	-0.2161	4.3496	0.9012	0.3761	0.1623	-0.0595	3.0781	0.495	0.3379	0.1797	-0.0482	3.0781	0.4885	0.676	0.3799	-0.2161	4.3496	0.7794	0.4104	0.2404	-1.3469	2.7764	0.8341	0.2611	0.2093	-0.428	2.5518	0.3359	0.2509	0.199	-0.0796	1.0029	0.1847	0.3274	0.2139	-1.3469	2.7764	0.6128
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	473.04	91.65	0.7644	56.9346	30.6424	0.762	0.9909	12.6813	5.7884	128.0851	45.5704	0.7751	1	18.5835	8.6809	0.4445	0.9071	0.6443	-0.1798	4.5738	0.8569	0.1966	0.1151	-0.0863	2.691	0.2645	0.1426	0.0856	-0.0738	1.0509	0.1984	0.5096	0.2327	-0.1798	4.5738	0.6975	0.4452	0.4709	-2.1913	2.2701	0.5194	0.3431	0.2613	-0.3801	1.3416	0.2921	0.3518	0.2355	-0.199	1.3416	0.3486	0.3881	0.3273	-2.1913	2.2701	0.4109
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	430.06	92.46	0.6018	178.541	51.0687	0.8603	0.9748	18.0575	13.1985	283.769	65.7878	0.8239	0.9373	21.696	18.6023	0.6292	0.2969	0.1588	-0.2013	4.681	0.486	0.1078	0.0592	-0.1583	1.7262	0.1938	0.1056	0.0684	-0.1476	1.0801	0.1761	0.2271	0.1134	-0.2013	4.681	0.4137	0.1283	0.1341	-2.6779	1.2449	0.3824	0.2437	0.2463	-1.1664	1.4311	0.271	0.2657	0.2519	-0.0976	1.4311	0.2552	0.1709	0.1739	-2.6779	1.4311	0.3498
